instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18287490001239348,1.829999382607639e-05,26,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.1855784999934258,1.8399994587525725e-05,28,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.18464769999263808,1.7400001524947584e-05,25,2123,6 19 10 7 15 3 17 12 1 13 20 18 16 9 4 8 11 14 5 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1854756999964593,1.7699989257380366e-05,28,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.1861081999959424,1.7600003047846258e-05,29,3123,3 4 16 14 19 7 11 10 18 13 20 5 1 12 9 17 6 8 15 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.18715690000681207,1.7300000763498247e-05,25,3124,3 16 14 19 10 20 12 7 11 13 1 18 5 6 8 15 9 4 17 2,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.004,20,5,1325,1325,1325,1301,-24,1.8113207547169812,0.18683489999966696,1.7800004570744932e-05,19,4123,13 17 9 11 2 12 15 16 19 20 7 1 4 10 5 8 6 14 3 18,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.004,20,5,1325,1325,1325,1302,-23,1.7358490566037736,0.18763319999561645,1.85999961104244e-05,29,4124,13 9 16 7 17 15 11 19 10 1 12 2 20 5 3 8 6 14 4 18,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.005,20,5,1305,1305,1305,1235,-70,5.363984674329502,0.18741050000244286,1.8699996871873736e-05,25,5123,3 5 13 9 12 4 19 6 17 16 2 10 11 15 14 7 18 1 20 8,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.005,20,5,1305,1305,1305,1235,-70,5.363984674329502,0.18820960000448395,1.9400002202019095e-05,31,5124,12 10 3 19 9 4 6 17 16 2 15 13 5 11 14 7 18 1 20 8,alpha,0.95,10000,1000.0,0.01,0.95,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18510389998846222,2.030000905506313e-05,149,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.001,20,5,1286,1286,1286,1286,0,0.0,0.18397170001117047,1.930000144056976e-05,142,1124,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.18640009999217,1.7300000763498247e-05,136,2123,6 19 10 7 15 17 4 18 12 9 11 13 1 8 20 3 5 16 14 2,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.18468919998849742,1.7799990018829703e-05,144,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.003,20,5,1159,1159,1159,1081,-78,6.729939603106126,0.18806830000539776,1.790000533219427e-05,124,3123,3 4 16 14 13 20 18 12 10 19 5 1 7 9 17 11 6 8 15 2,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.003,20,5,1159,1159,1159,1088,-71,6.125970664365832,0.18714969999564346,1.6699996194802225e-05,124,3124,3 4 16 14 19 1 20 18 12 7 10 5 11 17 6 13 9 8 15 2,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
data.004,20,5,1325,1325,1325,1300,-25,1.8867924528301887,0.18650799999886658,1.820000761654228e-05,145,4123,13 17 9 11 4 16 7 1 19 10 12 15 20 2 5 6 8 14 3 18,alpha,0.99,10000,1000.0,0.01,0.99,neh,swap
